Id,Role,Year,Description,URL
158,program committee member,2022,SyntaxFest,https://syntaxfest.github.io/
157,program committee member,2022,TheWebConf 2022,https://www2022.thewebconf.org/
156,program committee member,2022,36th AAAI conference on Artificial Intelligence (AAAI-22),https://aaai.org/Conferences/AAAI-22/aaai22call/
155,program committee member,2021,The Joint Conference of the 59th Annual Meeting of the Association for Computational Linguistics and the 11th International Joint Conference on Natural Language Processing (ACL-IJCNLP 2021),https://2021.aclweb.org/
154,speaker,2021,Digital Humanities group at Fondazione Bruno Kessler,https://dh.fbk.eu/2021/03/talk_valerio_basile/
153,program committee member,2021,20th International Semantic Web Conference (ISWC 2021),https://iswc2021.semanticweb.org/
152,area chair,2021,10th Joint Conference on Lexical and Computational Semantics (*SEM 2021),https://sites.google.com/view/starsem2021/
151,publication chair,2021,The 16th Conference of the European Chapter of the Association for Computational Linguistics,https://2021.eacl.org/
150,program committee member,2021,5th Workshop on Natural Language for Artificial Intelligence ,http://sag.art.uniroma2.it/NL4AI/
149,area chair,2021,Eighth Italian Conference on Computational Linguistics,https://clic2021.disco.unimib.it/
148,program committee member,2021,2021 IEEE International Conference on Big Data (IEEE BigData 2021),http://bigdataieee.org/BigData2021/
147,program committee member,2021,Language Resources and Evaluation (LREV),https://link.springer.com/journal/10579
146,reviewer,2021,AI Communications,https://www.aicommunications.eu/
145,reviewer,2021,Journal of Business Research,https://www.sciencedirect.com/journal/journal-of-business-research
144,program committee member,2021,1st International Workshop on Relations in the Legal Domain (RELATED),https://related.di.unito.it/
143,reviewer,2021,Future internet,https://www.mdpi.com/journal/futureinternet
142,program committee member,2021,Workshop on Sentiment Analysis and Linguistic Linked Data (SALLD-1),https://www.salld.org/
141,reviewer,2021,Information,https://www.mdpi.com/journal/information
140,program committee member,2021,"3rd Conference on Language, Data and Knowledge (LDK 2019)",http://2021.ldk-conf.org/
139,reviewer,2021,Applied Sciences,https://www.mdpi.com/journal/applsci
138,reviewer,2021,PeerJ,https://peerj.com/
137,reviewer,2021,Behaviour & Information Technology (TBIT),https://www.tandfonline.com/toc/tbit20/current
136,reviewer,2021,Online Social Networks and Media  (OSNEM),https://www.sciencedirect.com/journal/online-social-networks-and-media
135,reviewer,2021,Transactions on Asian and Low-Resource Language Information Processing (TALLIP),https://dl.acm.org/journal/tallip
134,reviewer,2021,Natural Language Engineering (NLE),https://www.cambridge.org/core/journals/natural-language-engineering
133,reviewer,2021,Artificial Intelligence,https://www.journals.elsevier.com/artificial-intelligence/
132,reviewer,2021,ACL Rolling Review,
131,reviewer,2021,SN Social Sciences,
130,program committee member,2021,Transdisciplinary AI    (TransAI 2021),https://www.transai.org/
129,speaker,2020,Pattern Recognition and Human Language Technology (PRHLT) research center,https://linguistica.ub.edu/agenda/conferencia-computational-linguistics-against-hate-datasets-and-models-for-hate-speech
128,mentor,2020,ACL 2020 Student Research Workshop,https://sites.google.com/view/acl20studentresearchworkshop/
127,program committee member,2020,5th SwissText & 16th KONVENS Joint Conference 2020,https://swisstext-and-konvens-2020.org/
126,program committee member,2020,The 2020 Conference on Empirical Methods in Natural Language Processing (EMNLP 2020),https://2020.emnlp.org/
125,program committee member,2020,19th International Semantic Web Conference (ISWC 2020),https://iswc2020.semanticweb.org/
124,reviewer,2020,Robotics and Autonomous Systems,https://www.journals.elsevier.com/robotics-and-autonomous-systems/
123,guest editor,2020,Information,https://www.mdpi.com/journal/information
122,reviewer,2020,Transactions of Affective Computing,https://www.computer.org/csdl/journal/ta
121,reviewer,2020,Information,https://www.mdpi.com/journal/information
120,reviewer,2020,Applied Sciences,https://www.mdpi.com/journal/applsci
119,speaker,2020,Sentiment Analysis in Agricoltura,
118,speaker,2020,SAILab seminar,http://sailab.diism.unisi.it/feb-12th-2020-creating-a-commonsense-knowledge-base-about-objects/
117,reviewer,2020,Future Generation Computer Systems,https://www.journals.elsevier.com/future-generation-computer-systems
116,program committee member,2020,5th SwissText & 16th KONVENS Joint Conference 2020,https://swisstext-and-konvens-2020.org/
115,reviewer,2020,Journal for Language Technology and Computational Linguistics ,https://jlcl.org/
114,program committee member,2020,Language Resources and Evaluation (LREV),https://link.springer.com/journal/10579
