time,CDA,CU,D66,DPK,GL,PVDA,PVDD,PVV,SGP,SP,VVD
1382515261,0,0,0,0,91,0,0,76,88,0,179
1382515331,0,0,0,0,92,0,0,79,89,0,182
1382515379,0,0,0,0,93,0,0,80,90,0,184
1382515482,0,0,0,0,94,0,0,82,92,0,186
1382516024,0,0,0,0,102,0,0,95,110,0,210
1382516304,0,0,0,0,105,0,0,101,117,0,220
1382516338,0,0,0,0,106,0,0,101,117,0,222
1382516687,0,0,0,0,110,0,0,109,123,0,235
1382516719,0,0,0,0,111,0,0,109,124,0,236
1382517765,0,0,0,0,129,0,0,130,147,0,269
1382517839,0,0,0,0,129,0,0,132,149,0,270
1382518102,0,0,0,0,132,0,0,139,158,0,272
1382518904,0,0,0,0,144,0,0,155,176,0,293
1382518959,0,0,0,0,146,0,0,157,178,0,294
1382518992,0,0,0,0,146,0,0,157,179,0,296
1382519876,0,0,0,0,151,0,0,161,184,0,304
1382519961,0,0,0,0,151,0,0,161,184,0,304
1382519969,0,0,0,0,151,0,0,161,184,0,304
1382520112,0,0,0,0,151,0,0,161,184,0,304
1382520214,0,0,0,0,151,0,0,161,184,0,313
1382520362,0,0,0,0,151,0,0,162,187,0,318
1382520441,0,0,0,0,153,0,0,164,190,0,323
1382521811,0,0,0,0,181,0,0,205,217,0,382
1382521815,0,0,0,0,181,0,0,205,218,0,382
1382521833,0,0,0,0,182,0,0,206,218,0,383
1382521838,0,0,0,0,182,0,0,206,218,0,383
1382521842,0,0,0,0,182,0,0,207,218,0,383
1382521882,0,0,0,0,184,0,0,207,221,0,385
1382522071,0,0,0,0,188,0,0,213,228,0,394
1382522449,0,0,0,0,195,0,0,223,237,0,414
1382522476,0,0,0,0,196,0,0,224,237,0,416
1382522518,0,0,0,0,197,0,0,224,237,0,416
1382522650,0,0,0,0,198,0,0,226,239,0,419
1382522886,0,0,0,0,203,0,0,231,246,0,432
1382523441,0,0,0,0,222,0,0,249,254,0,472
1382523445,0,0,0,0,223,0,0,249,254,0,472
1382523525,0,0,0,0,225,0,0,253,256,0,476
1382523527,0,0,0,0,225,0,0,253,256,0,476
1382523959,0,0,0,0,235,0,0,264,266,0,497
1382523977,0,0,0,0,235,0,0,264,266,0,497
1382523978,0,0,0,0,235,0,0,264,266,0,497
1382523984,0,0,0,0,235,0,0,264,266,0,497
1382523986,0,0,0,0,235,0,0,264,266,0,497
1382524669,0,0,0,0,253,0,0,264,283,0,517
1382524697,0,0,0,0,255,0,0,264,284,0,518
1382524737,0,0,0,0,257,0,0,264,285,0,519
1382524751,0,0,0,0,257,0,0,264,286,0,519
1382524962,0,0,0,0,264,0,0,264,292,0,525
1382524967,0,0,0,0,264,0,0,264,292,0,525
1382525758,0,0,0,0,279,0,0,270,315,0,542
1382525955,0,0,0,0,285,0,0,274,323,0,548
1382525974,0,0,0,0,285,0,0,274,323,0,548
1382528151,0,0,0,0,286,0,0,275,323,0,549
1382528593,0,0,0,0,287,0,0,280,327,0,554
1382528613,0,0,0,0,287,0,0,280,327,0,554
1382528966,0,0,0,0,292,0,0,286,334,0,562
1382528967,0,0,0,0,292,0,0,286,334,0,562
1382529465,0,0,0,0,298,0,0,297,339,0,563
1382530326,0,0,0,0,316,0,0,308,358,0,596
1382530366,0,0,0,0,316,0,0,308,359,0,599
1382530369,0,0,0,0,316,0,0,308,359,0,599
1382530372,0,0,0,0,316,0,0,308,359,0,600
1382530375,0,0,0,0,316,0,0,308,359,0,600
1382530378,0,0,0,0,316,0,0,309,360,0,600
1382530432,0,0,0,0,316,0,0,311,361,0,600
1382530656,0,0,0,0,320,0,0,318,369,0,620
1382530664,0,0,0,0,320,0,0,318,369,0,620
1382530978,0,0,0,0,329,0,0,326,385,0,637
1382531538,0,0,0,0,341,0,0,339,399,0,659
1382531541,0,0,0,0,341,0,0,339,399,0,659
1382531549,0,0,0,0,341,0,0,339,399,0,659
1382531553,0,0,0,0,341,0,0,339,399,0,659
1382531564,0,0,0,0,341,0,0,339,399,0,659
1382532044,0,0,0,0,349,0,0,353,413,0,667
1382532073,0,0,0,0,344,0,0,354,415,0,667
1382532162,0,0,0,0,345,0,0,355,417,0,668
1382532191,0,0,0,0,345,0,0,356,417,0,669
1382532222,0,0,0,0,345,0,0,357,420,0,670
1382532224,0,0,0,0,346,0,0,357,420,0,670
1382532226,0,0,0,0,346,0,0,357,420,0,670
1382532265,0,0,0,0,346,0,0,359,422,0,673
1382532268,0,0,0,0,346,0,0,359,422,0,674
1382532271,0,0,0,0,346,0,0,359,423,0,674
1382532273,0,0,0,0,347,0,0,359,423,0,674
1382532275,0,0,0,0,347,0,0,359,423,0,674
1382532325,0,0,0,0,347,0,0,361,425,0,678
1382532522,0,0,0,0,351,0,0,367,432,0,683
1382532805,0,0,0,0,356,0,0,375,440,0,692
1382532811,0,0,0,0,356,0,0,376,440,0,692
1382532912,0,0,0,0,357,0,0,380,441,0,692
1382532980,0,0,0,0,358,0,0,380,442,0,693
1382532982,0,0,0,0,358,0,0,381,442,0,693
1382532994,0,0,0,0,359,0,0,381,442,0,693
1382532995,0,0,0,0,359,0,0,381,442,0,693
1382533006,0,0,0,0,359,0,0,381,442,0,693
1382533192,0,0,0,0,364,0,0,389,446,0,699
1382533214,0,0,0,0,365,0,0,389,447,0,701
1382533241,0,0,0,0,365,0,0,390,449,0,702
1382533250,0,0,0,0,366,0,0,391,449,0,702
1382533272,0,0,0,0,366,0,0,391,450,0,702
1382533280,0,0,0,0,366,0,0,391,450,0,702
1382533308,0,0,0,0,366,0,0,392,451,0,702
1382533339,0,0,0,0,368,0,0,392,451,0,702
1382533375,0,0,0,0,369,0,0,393,451,0,702
1382533378,0,0,0,0,369,0,0,393,452,0,702
1382533416,0,0,0,0,369,0,0,393,453,0,702
1382533717,0,0,0,0,374,0,0,398,453,0,705
1382533725,0,0,0,0,374,0,0,398,453,0,705
1382533725,0,0,0,0,374,0,0,398,453,0,705
1382534904,0,0,0,0,374,0,0,398,453,0,706
1382535081,0,1,0,0,377,0,0,400,453,0,709
1382535085,0,1,0,0,377,0,0,400,453,0,710
1382535105,0,1,0,0,376,0,0,401,453,0,710
1382535152,0,2,0,0,377,0,0,402,453,0,711
1382535155,0,2,0,0,377,0,0,402,453,0,711
1382535174,0,2,0,0,378,0,0,402,453,0,712
1382535381,0,6,0,0,384,0,0,406,453,0,718
1382535409,0,8,0,0,385,0,0,406,453,0,718
1382535449,0,9,0,0,387,0,0,407,453,0,721
1382535454,0,9,0,0,387,0,0,407,453,0,721
1382535582,0,12,0,0,391,0,0,394,449,0,724
1382535633,0,12,0,0,393,0,0,396,449,0,727
1382535718,0,14,0,0,395,0,0,397,449,0,728
1382536040,0,27,0,0,403,0,0,401,449,0,740
1382536433,0,35,0,0,415,0,0,408,449,0,753
1382536444,0,36,0,0,415,0,0,408,449,0,753
1382536464,0,37,0,0,416,0,0,408,449,0,754
1382536465,0,37,0,0,416,0,0,408,449,0,755
1382536698,0,43,0,0,421,0,0,413,449,0,762
1382536718,0,43,0,0,422,0,0,413,449,0,762
1382536779,0,45,0,0,423,0,0,414,449,0,765
1382536780,0,45,0,0,423,0,0,415,449,0,766
1382536782,0,46,0,0,424,0,0,415,449,0,766
1382537167,0,67,0,0,445,0,0,425,449,0,785
1382537172,0,67,0,0,445,0,0,425,449,0,785
1382537309,0,68,0,0,449,0,0,429,449,0,791
1382537364,0,70,0,0,450,0,0,429,449,0,792
1382537518,0,82,0,0,456,0,0,432,449,0,796
1382537667,0,87,0,0,456,0,0,437,449,0,804
1382537891,0,98,0,0,456,0,0,444,449,0,808
1382537918,0,98,0,0,456,0,0,445,449,0,808
1382537928,0,98,0,0,456,0,0,445,449,0,808
1382537931,0,98,0,0,456,0,0,445,449,0,809
1382537933,0,98,0,0,456,0,0,445,449,0,809
1382537937,0,98,0,0,456,0,0,445,449,0,809
1382537964,0,99,0,0,456,0,0,445,449,0,810
1382537968,0,99,0,0,456,0,0,446,449,0,810
1382537972,0,100,0,0,456,0,0,446,449,0,810
1382537974,0,100,0,0,456,0,0,446,449,0,810
1382538255,0,103,0,0,457,0,0,448,449,0,816
1382538268,0,103,0,0,458,0,0,449,449,0,816
1382538704,0,119,0,0,467,0,0,453,449,0,828
1382538704,0,119,0,0,467,0,0,453,449,0,828
1382539178,0,142,0,0,474,0,0,464,449,0,852
1382539240,0,145,0,0,474,0,0,466,449,0,858
1382539481,0,149,0,0,474,0,0,470,449,0,870
1382539546,0,153,0,0,474,0,0,472,449,0,873
1382540054,0,177,0,0,495,0,0,481,449,0,902
1382540130,0,180,0,0,497,0,0,482,449,0,906
1382540228,0,184,0,0,497,0,0,484,449,0,909
1382540284,0,185,0,0,498,0,0,485,449,0,910
1382540565,0,189,0,0,507,0,0,490,449,0,914
1382540584,0,189,0,0,507,0,0,490,449,0,915
1382540584,0,189,0,0,507,0,0,490,449,0,915
1382540587,0,189,0,0,507,0,0,490,449,0,915
1382540599,0,189,0,0,507,0,0,490,449,0,915
